	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MTREX	1305.87945875978	1.1331253374768	0.114205062478962	9.92184858430014	3.34502650233905e-23	5.69172540475435e-22
MTX3	183.83376097059	1.56022118005844	0.236428987817957	6.59911119384296	4.13630005078579e-11	1.71356227797433e-10
MUL1	759.979533678427	-1.04950931824521	0.138484685338436	-7.57852260472244	3.49512013904817e-14	2.02875237655996e-13
MMUT	1343.38035124633	1.28143769775882	0.139074748025284	9.21402135149546	3.14130653505335e-20	3.68289459772794e-19
MVB12A	2725.15806262556	-1.49775302555233	0.13072539900163	-11.4572457761911	2.16283667307517e-30	8.3800387166857e-29
MVD	1067.55535721433	-1.25421611840919	0.146129015642835	-8.58293688554446	9.24811032744531e-18	8.06431026398887e-17
Mvk	825.31855803955	-1.51544610671207	0.1723580530785	-8.79242994246319	1.46359453731413e-18	1.4105896724916e-17
Mxra8	32400.226276204	-1.21434833642552	0.171612686889778	-7.07609885046241	1.48269117732068e-12	7.21732774985657e-12
MYBL1	94.4287345547211	1.61346943669597	0.263405950476788	6.12540997564954	9.04504011964321e-10	3.23409887454532e-09
MYBL2	51.1262878203482	-1.52745420688832	0.388112543281298	-3.93559608760504	8.29904507991111e-05	0.000171281244356894
Mybph	276.914337494215	-2.18818297766242	0.367046926049173	-5.96158916576588	2.49796546718526e-09	8.5480989580075e-09
Mycbp2	2502.06428491706	2.0710923313511	0.13680008893613	15.1395539831707	8.8813981861494e-52	2.2768944483225e-49
MYCT1	413.172837145116	1.16907020980247	0.181128513077176	6.45436872384826	1.08670930462526e-10	4.30485771922372e-10
Myh14	1408.48279808107	-1.20136424223319	0.221877932268119	-5.41452784399238	6.14506408509174e-08	1.79531577885814e-07
Myh8	85.1685924111475	-1.213724744201	0.458895850042875	-2.64488062833342	0.0081719740246387	0.0130031348346946
Myl10	182.00454482023	-2.07196156051817	0.56903168290194	-3.64120596932601	0.000271363924023129	0.000524518708133171
Myl6b	1320.27603354205	-1.26529102639727	0.542043933899122	-2.33429607319016	0.0195802242170048	0.0295393300221624
Mylk	3514.06364288885	1.30863267623648	0.186082284667016	7.03254841576244	2.02794900979933e-12	9.68454258576009e-12
MYLK3	21.6200891033107	1.43402258340336	0.428485713674008	3.34672204379343	0.000817731598672656	0.00149067876875833
MYLK4	355.093656947331	2.26183045396293	0.508623030295156	4.44696822448322	8.70907144422891e-06	2.0223873332598e-05
MYNN	318.890364008427	2.87262224241139	0.284017712178703	10.1142362579273	4.77728363472447e-24	9.08333459447859e-23
MYO15A	459.761842567849	1.31406907097552	0.151402524036405	8.67930755671914	3.98185595702176e-18	3.66102261392162e-17
MYO15B	282.618694690111	1.50091816496644	0.366486115428991	4.09542981787875	4.21385868863623e-05	9.03254937968263e-05
MYO1G	249.924029581893	-1.20478071316001	0.246879598956149	-4.88003349913901	1.06067822579621e-06	2.72649606771346e-06
Myo5a	2324.86047518516	1.1631210201932	0.112984320757604	10.2945347849509	7.4579196513293e-25	1.57363127677294e-23
MYO5B	44.0041104393475	1.12744707271712	0.297333880771413	3.79185537077724	0.000149525990009755	0.000298586106494878
MYO6	855.007409454465	1.58425855982324	0.192720622119564	8.22049318022836	2.02668012521996e-16	1.51774068579033e-15
