	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
UTP20	1329.82734838805	-0.769048696017585	0.1203528508324	-6.38994997375295	1.65940033531391e-10	6.46199897665785e-10	NOT
UTP23	380.531409791295	-0.863304133928949	0.165382120678125	-5.22005722498356	1.78867853531185e-07	4.98432123734907e-07	NOT
Utp3	623.155614216264	0.106353548221154	0.103507099503413	1.02750003363439	0.304185069609384	0.361757750172533	NOT
UTP4	533.315265136123	-0.0944841990590691	0.120838765469185	-0.781903048183351	0.434271553496284	0.494995556567606	NOT
Utp6	1081.20778234075	-0.0590196151360195	0.126264705381361	-0.467427654923525	0.640193940557749	0.692995298638937	NOT
UTRN	4142.54616827609	1.6273944489716	0.188960746215345	8.61234135430952	7.15833202876044e-18	6.37207542050885e-17	UP
UTS2	1.93704503353027	-4.608654765792	1.65589756776768	-2.78317623958161	0.00538295570537556	0.00881045165568066	DOWN
Uts2r	119.641153000654	-1.56931995665151	0.245444429938005	-6.3937892460949	1.61824439169294e-10	6.30811840674628e-10	DOWN
UVRAG	614.506103363132	0.584997686269562	0.135152223431118	4.32843553304703	1.50172275556634e-05	3.39100109015288e-05	NOT
Uvssa	980.361140683342	-0.367507290495001	0.130500184544517	-2.81614383747966	0.00486039007189525	0.00798915581170044	NOT
UXS1	1438.48331214667	-0.770663965865038	0.100587656612451	-7.6616156675594	1.83608406767211e-14	1.09850817304288e-13	NOT
UXT	368.146763419626	-1.32832213814867	0.202819473120143	-6.54928305312094	5.78139609439524e-11	2.35887094758588e-10	DOWN
Vac14	588.263531737739	-1.36529769516759	0.173165803450976	-7.88433783090499	3.16207757897257e-15	2.06447696603379e-14	DOWN
VAC14	468.231866779118	-0.647994476142744	0.126244696321325	-5.13284514141831	2.85394718791408e-07	7.80711642263816e-07	NOT
Vamp1	191.956819921248	1.07711415429356	0.181823007657413	5.92397061390071	3.14259637339852e-09	1.0612385821211e-08	UP
Vamp2	6091.24070504137	-0.685372369349399	0.103010082060489	-6.65344940650509	2.86302262418276e-11	1.20986302212031e-10	NOT
VAMP3	3592.49010280198	-0.49092488481657	0.0741554827816384	-6.62021021779562	3.58688411166289e-11	1.49683807394462e-10	NOT
VAMP4	1994.89747028663	0.779828899651849	0.097965394663733	7.9602486401307	1.71693909437443e-15	1.15883971696654e-14	NOT
Vamp5	764.262535964417	-1.47274181302499	0.160390077313842	-9.18225015967299	4.22175716013366e-20	4.86799614971334e-19	DOWN
VAMP7	125.802316676608	2.02132511875473	0.272948260853561	7.40552481424013	1.30632808933028e-13	7.13056730662823e-13	UP
VAMP8	2731.24770292016	-1.42100769705266	0.160396117074868	-8.85936469639959	8.04717094121862e-19	7.98590860760161e-18	DOWN
VANGL1	212.520756620844	2.71592756440874	0.28012831676856	9.69529819669256	3.15714069588429e-22	4.6875616007811e-21	UP
VANGL2	210.825325377187	1.04365685497693	0.258427563593893	4.03848893075892	5.37966315170585e-05	0.000113730042055442	UP
