category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell growth and death	mmu04218	Cellular senescence	4/270	183/10692	0.0218579234972678	0.865573770491803	-0.295219050198917	0.683349527174133	0.817823932120047	0.699093576732785	12334/19094/29857/15042	4
Human Diseases	Infectious disease: viral	mmu05162	Measles	3/270	142/10692	0.0211267605633803	0.836619718309859	-0.315451862061485	0.700228790745773	0.8302260879347	0.70969520763051	18035/17874/21898	3
Metabolism	Xenobiotics biodegradation and metabolism	mmu00983	Drug metabolism - other enzymes	2/270	96/10692	0.0208333333333333	0.825	-0.277215942623246	0.702070383085719	0.8302260879347	0.70969520763051	110074/171567	2
Environmental Information Processing	Signal transduction	mmu04070	Phosphatidylinositol signaling system	2/270	96/10692	0.0208333333333333	0.825	-0.277215942623246	0.702070383085719	0.8302260879347	0.70969520763051	234779/18718	2
Organismal Systems	Endocrine system	mmu04916	Melanogenesis	2/270	100/10692	0.02	0.792	-0.336348783561047	0.723216206347404	0.851851499966507	0.728181077329194	14679/21414	2
NA	NA	mmu04082	Neuroactive ligand signaling	4/270	196/10692	0.0204081632653061	0.808163265306122	-0.436278097553556	0.73394924513834	0.85718392184831	0.732739346829004	94045/14679/14680/21334	4
Human Diseases	Cancer: specific types	mmu05226	Gastric cancer	3/270	150/10692	0.02	0.792	-0.412917197404135	0.73488679856632	0.85718392184831	0.732739346829004	21414/17295/14183	3
Metabolism	Lipid metabolism	mmu00071	Fatty acid degradation	1/270	52/10692	0.0192307692307692	0.761538461538461	-0.277437212167538	0.736372765077743	0.85718392184831	0.732739346829004	11364	1
Genetic Information Processing	Translation	mmu03015	mRNA surveillance pathway	2/270	105/10692	0.019047619047619	0.754285714285714	-0.407243454098743	0.747858163712306	0.862130310684186	0.73696762693597	434050/105083	2
Organismal Systems	Nervous system	mmu04723	Retrograde endocannabinoid signaling	3/270	154/10692	0.0194805194805195	0.771428571428571	-0.459852676296808	0.750997699858894	0.862130310684186	0.73696762693597	14679/19094/29857	3
Organismal Systems	Endocrine system	mmu04921	Oxytocin signaling pathway	3/270	154/10692	0.0194805194805195	0.771428571428571	-0.459852676296808	0.750997699858894	0.862130310684186	0.73696762693597	14679/18127/18783	3
Human Diseases	Infectious disease: viral	mmu05166	Human T-cell leukemia virus 1 infection	5/270	247/10692	0.0202429149797571	0.801619433198381	-0.507702022732336	0.752194230798283	0.862130310684186	0.73696762693597	21937/14961/18035/15042/231991	5
Metabolism	Lipid metabolism	mmu00591	Linoleic acid metabolism	1/270	55/10692	0.0181818181818182	0.72	-0.335077532696225	0.755938952400541	0.86310271193625	0.737798856547412	18783	1
Metabolism	Amino acid metabolism	mmu00270	Cysteine and methionine metabolism	1/270	57/10692	0.0175438596491228	0.694736842105263	-0.371927752514129	0.768172321512953	0.873722716835344	0.74687706631633	20810	1
Environmental Information Processing	Membrane transport	mmu02010	ABC transporters	1/270	58/10692	0.0172413793103448	0.682758620689655	-0.3899159587677	0.77405793253237	0.873747211722146	0.746898005075094	26357	1
Human Diseases	Cancer: specific types	mmu05213	Endometrial cancer	1/270	58/10692	0.0172413793103448	0.682758620689655	-0.3899159587677	0.77405793253237	0.873747211722146	0.746898005075094	21414	1
Organismal Systems	Excretory system	mmu04961	Endocrine and other factor-regulated calcium reabsorption	1/270	62/10692	0.0161290322580645	0.638709677419355	-0.459199127024246	0.796148596161043	0.891027098031502	0.761669225445509	11933	1
Organismal Systems	Nervous system	mmu04724	Glutamatergic synapse	2/270	117/10692	0.0170940170940171	0.676923076923077	-0.565554149764098	0.799429779909646	0.891027098031502	0.761669225445509	14679/18783	2
Metabolism	Lipid metabolism	mmu00561	Glycerolipid metabolism	1/270	63/10692	0.0158730158730159	0.628571428571428	-0.475899108891185	0.801326383464572	0.891027098031502	0.761669225445509	14187	1
Organismal Systems	Endocrine system	mmu04929	GnRH secretion	1/270	63/10692	0.0158730158730159	0.628571428571428	-0.475899108891185	0.801326383464572	0.891027098031502	0.761669225445509	84036	1
Environmental Information Processing	Signal transduction	mmu04630	JAK-STAT signaling pathway	3/270	171/10692	0.0175438596491228	0.694736842105263	-0.647678454163018	0.810883853816027	0.898302559246008	0.767888446971155	57914/12986/18595	3
Organismal Systems	Nervous system	mmu04720	Long-term potentiation	1/270	67/10692	0.0149253731343284	0.591044776119403	-0.540460805969913	0.820759762662123	0.905875589901158	0.774362037287461	109905	1
Human Diseases	Cancer: specific types	mmu05221	Acute myeloid leukemia	1/270	70/10692	0.0142857142857143	0.565714285714286	-0.586728153016148	0.834081120563616	0.9171814536087	0.784026533992601	21414	1
Organismal Systems	Endocrine system	mmu04927	Cortisol synthesis and secretion	1/270	72/10692	0.0138888888888889	0.55	-0.616640458730866	0.842409268306831	0.92293368365969	0.788943664590763	231991	1
Cellular Processes	Cell growth and death	mmu04115	p53 signaling pathway	1/270	75/10692	0.0133333333333333	0.528	-0.660217807616163	0.854126981354379	0.931210342417597	0.7960187314202	21825	1
Human Diseases	Cancer: specific types	mmu05220	Chronic myeloid leukemia	1/270	76/10692	0.0131578947368421	0.521052631578947	-0.674418764132266	0.857836665354974	0.931210342417597	0.7960187314202	18035	1
Metabolism	Nucleotide metabolism	mmu00230	Purine metabolism	2/270	135/10692	0.0148148148148148	0.586666666666667	-0.777879929827461	0.859338403237716	0.931210342417597	0.7960187314202	171567/11565	2
Human Diseases	Infectious disease: bacterial	mmu05150	Staphylococcus aureus infection	2/270	138/10692	0.0144927536231884	0.573913043478261	-0.810857896445455	0.867572449726946	0.93127305492375	0.796072339426166	12628/14961	2
Metabolism	Global and overview maps	mmu01230	Biosynthesis of amino acids	1/270	79/10692	0.0126582278481013	0.50126582278481	-0.716108958058901	0.868411150084723	0.93127305492375	0.796072339426166	20425	1
Environmental Information Processing	Signal transduction	mmu04371	Apelin signaling pathway	2/270	140/10692	0.0142857142857143	0.565714285714286	-0.832506594981057	0.872814270312436	0.93127305492375	0.796072339426166	14679/18127	2
Organismal Systems	Endocrine system	mmu04910	Insulin signaling pathway	2/270	140/10692	0.0142857142857143	0.565714285714286	-0.832506594981057	0.872814270312436	0.93127305492375	0.796072339426166	23921/20528	2
Human Diseases	Drug resistance: antineoplastic	mmu01524	Platinum drug resistance	1/270	81/10692	0.0123456790123457	0.488888888888889	-0.743182007577764	0.875021662344463	0.93127305492375	0.796072339426166	11799	1
Human Diseases	Cancer: specific types	mmu05224	Breast cancer	2/270	147/10692	0.0136054421768707	0.538775510204082	-0.906281775662355	0.889695262202246	0.938082131426686	0.801892885218149	54485/21414	2
Cellular Processes	Transport and catabolism	mmu04146	Peroxisome	1/270	87/10692	0.0114942528735632	0.455172413793103	-0.821256635175763	0.892932897385245	0.938082131426686	0.801892885218149	17855	1
Organismal Systems	Circulatory system	mmu04260	Cardiac muscle contraction	1/270	89/10692	0.0112359550561798	0.444943820224719	-0.846317024716392	0.898315537694139	0.938082131426686	0.801892885218149	11933	1
Organismal Systems	Aging	mmu04211	Longevity regulating pathway	1/270	90/10692	0.0111111111111111	0.44	-0.858679103543633	0.900904880787847	0.938082131426686	0.801892885218149	231991	1
Organismal Systems	Nervous system	mmu04727	GABAergic synapse	1/270	91/10692	0.010989010989011	0.435164835164835	-0.870932541891794	0.903428525589514	0.938082131426686	0.801892885218149	14679	1
Organismal Systems	Sensory system	mmu04742	Taste transduction	1/270	92/10692	0.0108695652173913	0.430434782608696	-0.883079805086059	0.905888132993611	0.938082131426686	0.801892885218149	57253	1
Human Diseases	Substance dependence	mmu05032	Morphine addiction	1/270	93/10692	0.010752688172043	0.425806451612903	-0.895123273576122	0.908285322058868	0.938082131426686	0.801892885218149	14679	1
Organismal Systems	Immune system	mmu04610	Complement and coagulation cascades	1/270	94/10692	0.0106382978723404	0.421276595744681	-0.907065246792096	0.910621671058218	0.938082131426686	0.801892885218149	12628	1
