	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
Cand2	0.0227225768951546	1.84234928347501	0.319521605764937	0.755730400287289	0.999697470640244	-5.45559411800626	NOT
Dip2b	0.0173852178794517	5.03877697462907	0.319515646019325	0.755734789797239	0.999697470640244	-5.45559584698149	NOT
Gm48990	0.00845749009304918	0.0222380839888324	0.319507328226532	0.755740916086363	0.999697470640244	-5.4555982599945	NOT
C030038I04Rik	-0.0242840904397419	0.496664410332517	-0.319371768873102	0.755840761868795	0.999697470640244	-5.45563757745876	NOT
Cenpw	0.0262755520098263	0.243286733507022	0.319339416915127	0.755864591288089	0.999697470640244	-5.45564695837022	NOT
Itgb3	0.0233852360080706	0.323673923883307	0.319221976173414	0.755951096636464	0.999697470640244	-5.45568100418393	NOT
1500015A07Rik	0.0326230808413923	1.66539912967638	0.319200440098601	0.755966960216108	0.999697470640244	-5.4556872461171	NOT
Gm44936	-0.0111816286230712	0.0463140159909866	-0.319142421359972	0.756009697696626	0.999697470640244	-5.45570405999782	NOT
Cngb3	0.0146515721147096	3.67234589839394	0.319133419173217	0.756016328920622	0.999697470640244	-5.45570666857169	NOT
Gm38329	-0.00848743851706311	0.0167931169165235	-0.319125248246218	0.756022347836913	0.999697470640244	-5.45570903620823	NOT
1500012K07Rik	0.0231820336537985	0.305849853739575	0.31898875113097	0.75612289766606	0.999697470640244	-5.45574857933218	NOT
Nup93	0.0240436312830765	2.67875543935086	0.318980682204656	0.756128841743995	0.999697470640244	-5.4557509163773	NOT
Ccdc190	-0.00957935926456927	0.0581989350945082	-0.318979625518137	0.756129620166887	0.999697470640244	-5.45575122242664	NOT
Gm47467	0.00881103119361546	0.0357209334133385	0.318815859446225	0.756250264177706	0.999697470640244	-5.45579864220852	NOT
Carmil1	0.0165179058044223	4.01846027475282	0.318790313494939	0.756269084114332	0.999697470640244	-5.45580603709842	NOT
Gm44663	0.0240520679548515	1.31694531329095	0.318668932931108	0.756358508564298	0.999697470640244	-5.45584116570932	NOT
Stxbp4	0.0109167055402504	3.9415008768847	0.318438424391855	0.756528340985169	0.999697470640244	-5.45590784093608	NOT
2310039H08Rik	-0.0261073721219056	1.06852543255962	-0.318429875439849	0.756534639880996	0.999697470640244	-5.45591031283714	NOT
Map6	0.0190326231789482	4.97366059622934	0.318425060950025	0.756538187221061	0.999697470640244	-5.45591170490232	NOT
BC055324	-0.0397669495364424	1.40620885677362	-0.318421389384945	0.756540892452459	0.999697470640244	-5.45591276648757	NOT
Trp53inp2	-0.0156606945544812	4.97988587619165	-0.318385525030427	0.756567317706899	0.999697470640244	-5.45592313556967	NOT
Magee2	-0.015473101028552	0.679628661795809	-0.318303570668449	0.756627703820927	0.999697470640244	-5.45594682588475	NOT
