ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0098562	cytoplasmic side of membrane	9/663	215/28829	0.0418604651162791	1.82020414605914	1.85205268683919	0.0615787408266626	0.270808176137254	0.227478867955294	Gnai3/Gnal/Otulinl/Alg14/Myzap/Fes/Shroom4/Myd88/Th	9
CC	GO:0030663	COPI-coated vesicle membrane	2/663	18/28829	0.111111111111111	4.83140606670018	2.49469066717421	0.0633793825492979	0.270808176137254	0.227478867955294	Copz2/Kdelr3	2
CC	GO:0035102	PRC1 complex	2/663	18/28829	0.111111111111111	4.83140606670018	2.49469066717421	0.0633793825492979	0.270808176137254	0.227478867955294	Ring1/Cbx2	2
CC	GO:0090571	RNA polymerase II transcription repressor complex	2/663	18/28829	0.111111111111111	4.83140606670018	2.49469066717421	0.0633793825492979	0.270808176137254	0.227478867955294	Tbx18/Drap1	2
CC	GO:0098690	glycinergic synapse	2/663	18/28829	0.111111111111111	4.83140606670018	2.49469066717421	0.0633793825492979	0.270808176137254	0.227478867955294	Itgb1/Kcnc4	2
CC	GO:0098992	neuronal dense core vesicle	3/663	40/28829	0.075	3.26119909502262	2.19561880723514	0.063910729568392	0.270808176137254	0.227478867955294	Adcyap1/Npy1r/Vps13a	3
CC	GO:1905360	GTPase complex	3/663	41/28829	0.0731707317073171	3.18165765368061	2.14473785270627	0.0678256754150382	0.28498182947495	0.239384736758958	Rragc/Gnai3/Gnal	3
CC	GO:0014704	intercalated disc	4/663	67/28829	0.0597014925373134	2.59597937912249	2.00658041727254	0.0684240433916209	0.285043597884058	0.239436622222609	Scn5a/Anxa6/Itgb1/Fhod1	4
CC	GO:0030027	lamellipodium	9/663	220/28829	0.0409090909090909	1.77883587001234	1.77912875965618	0.0689805506879421	0.285043597884058	0.239436622222609	Tiam2/Itgb1/Arap3/Epha2/Ctnnd1/Abi3bp/Rac1/Actr2/Pdpn	9
CC	GO:0120293	dynein axonemal particle	2/663	19/28829	0.105263157894737	4.57712153687386	2.39298678798081	0.0697868909652138	0.286011848218089	0.240249952503195	Dnaaf2/Dnai2	2
CC	GO:0034705	potassium channel complex	5/663	96/28829	0.0520833333333333	2.26472159376571	1.90432687837682	0.070740019658776	0.28756105552348	0.241551286639723	Slc5a3/Kcns1/Kcnq4/Kcnip3/Kcnc4	5
CC	GO:0008021	synaptic vesicle	11/663	289/28829	0.0380622837370242	1.6550491370357	1.71710656732556	0.0719696047551178	0.290200019173862	0.243768016106044	Rab26/Vamp3/Mctp1/Sypl2/Kcnk9/Rac1/Sh3gl2/Npy1r/Rab4a/Th/Kcnc4	11
CC	GO:0031901	early endosome membrane	8/663	191/28829	0.0418848167539267	1.82126301990792	1.74714537295848	0.074984685415821	0.296105405685452	0.248728540775779	Slc9a3/Ubxn6/Mmgt1/Vamp3/Snx7/Rac1/Rab4a/Slc15a4	8
CC	GO:0005798	Golgi-associated vesicle	5/663	98/28829	0.0510204081632653	2.21850278572968	1.85381173328108	0.0758030573476352	0.296105405685452	0.248728540775779	Copz2/Kdelr3/Cubn/Lyz2/Slc2a4	5
CC	GO:1905369	endopeptidase complex	5/663	98/28829	0.0510204081632653	2.21850278572968	1.85381173328108	0.0758030573476352	0.296105405685452	0.248728540775779	Cfh/Capn2/Psmc2/Psmb5/Adrm1b	5
CC	GO:0098800	inner mitochondrial membrane protein complex	3/663	43/28829	0.0697674418604651	3.03367357676523	2.04751101409401	0.0759726447569891	0.296105405685452	0.248728540775779	Timm23/Timm21/Timm10	3
CC	GO:0060187	cell pole	2/663	20/28829	0.1	4.34826546003017	2.2981174596517	0.0763951946668465	0.296105405685452	0.248728540775779	Ezr/Trf	2
CC	GO:0030016	myofibril	10/663	259/28829	0.0386100386100386	1.67886697298462	1.68376266696263	0.0776523886811351	0.298663033388981	0.250876948046744	Scn5a/Myh11/Myo18b/Cavin4/Synpo/Ablim2/Myl12a/Myzap/Kcnn1/Prickle4	10
CC	GO:0055038	recycling endosome membrane	5/663	99/28829	0.0505050505050505	2.1960936666819	1.82901138371956	0.0784062817120884	0.299260617221711	0.251378918466238	Slc9a3/Vamp3/Rab11fip3/Rac1/Rab4a	5
CC	GO:0000803	sex chromosome	3/663	44/28829	0.0681818181818182	2.96472645002057	2.00099842418043	0.080200303490932	0.30150490034185	0.253264116287154	Ring1/Macroh2a2/Ube2a	3
CC	GO:0022627	cytosolic small ribosomal subunit	3/663	44/28829	0.0681818181818182	2.96472645002057	2.00099842418043	0.080200303490932	0.30150490034185	0.253264116287154	Rps21/Larp4/Mcts1	3
