	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gm43676	0.085548425879362	0.254179928890971	1.4160067052059	0.18681375810924	0.999789400686269	-4.53889838818218
Spn	0.208581646746629	1.17445720298919	1.41584093310662	0.186860997286677	0.999789400686269	-4.53904879179572
Sidt2	-0.110745416310748	5.38319035233581	-1.4158261402988	0.186865213207233	0.999789400686269	-4.53906221269679
2810402E24Rik	-0.120341071694728	1.38715359059809	-1.41579595235738	0.18687381696124	0.999789400686269	-4.53908960071631
Tmem139	-0.0706428813785589	0.287517878858737	-1.41569938507038	0.186901341513088	0.999789400686269	-4.53917720918421
Siah2	-0.120141858986907	1.87924530207392	-1.41569615829787	0.18690226129891	0.999789400686269	-4.53918013654117
Atp5j2	-0.108782231392568	4.71119591233514	-1.4155771714717	0.186936180975381	0.999789400686269	-4.53928807980254
Stmn3	0.163362402011115	3.12314069170717	1.41544210821895	0.186974689923007	0.999789400686269	-4.53941060111929
Gm11639	-0.0725861929470792	0.204724307344017	-1.41533883931529	0.187004138288961	0.999789400686269	-4.53950427600733
Glb1	0.0832866777788582	4.07482152902249	1.41514535514599	0.187059323248273	0.999789400686269	-4.53967977438491
Pfdn4	-0.138310455523585	1.68438129503568	-1.41487070871717	0.187137680861591	0.999789400686269	-4.53992886690118
Psg16	0.193455345653059	1.18434204977152	1.41484291637483	0.187145611673198	0.999789400686269	-4.53995407182643
Gm37240	0.238305317491997	1.9309856593943	1.41469042718275	0.187189131018722	0.999789400686269	-4.54009235952532
Tfap4	-0.194729134982795	1.40243811947626	-1.41466126131479	0.187197455734039	0.999789400686269	-4.54011880817434
Nudt16l1	0.0797757417726092	3.26635518059809	1.41458358714116	0.187219627548483	0.999789400686269	-4.54018924436777
Gm9873	-0.0730387983671966	0.1456528611502	-1.41429019293947	0.187303396038365	0.999789400686269	-4.54045527906041
Naa40	-0.114788863671399	4.12001465556018	-1.41422835744979	0.187321055076924	0.999789400686269	-4.54051134426925
Reep3	-0.0674944597196358	5.89816308957102	-1.41420017059688	0.187329105175598	0.999789400686269	-4.54053690035542
Plxdc2	-0.0803710118993754	5.8977694183993	-1.41385366904608	0.187428089258464	0.999789400686269	-4.5408510380924
Gm49165	0.0794320311738124	0.0730315899223695	1.4137366442903	0.187461529430435	0.999789400686269	-4.54095712262085
E330037G11Rik	0.133770787955499	0.726089834854801	1.41366682229845	0.18748148369036	0.999789400686269	-4.54102041481648
Agpat5	-0.0605989629560709	3.98085688496778	-1.41358680652796	0.187504353428318	0.999789400686269	-4.54109294526826
Dck	0.092588814984146	1.73953041862648	1.41343409175332	0.187548008248612	0.999789400686269	-4.54123136737008
Gm36070	-0.0788641796467254	0.566000599251191	-1.41342137122331	0.187551644910715	0.999789400686269	-4.54124289699243
Tubd1	0.088242342851043	1.63417424607649	1.41331912812688	0.187580877286709	0.999789400686269	-4.54133556584491
Gm45212	0.0976869957224151	0.42556272198802	1.41319091355045	0.18761754066065	0.999789400686269	-4.54145176874774
Gm34609	-0.131692179248984	0.635261306967433	-1.41300719859005	0.187670085176321	0.999789400686269	-4.54161826203541
Eri1	-0.0934513271855662	3.3393566913355	-1.41293574396706	0.187690525372294	0.999789400686269	-4.54168301507267
Rcor1	-0.0838553362677208	4.16963191663751	-1.41290863474883	0.187698280687796	0.999789400686269	-4.54170758128233
Pkp4	-0.218311543631924	6.62872909397847	-1.41243106350279	0.187834947401086	0.999789400686269	-4.54214030930465
Gm4708	0.139141169256012	2.37409413800945	1.41227042478627	0.18788093645463	0.999789400686269	-4.5422858455003
Lypd2	-1.28245002951235	2.3700729762248	-1.41220584501865	0.187899427613143	0.999789400686269	-4.54234435110619
Parg	0.0458219637327354	4.65590860398102	1.4121499244807	0.18791544062049	0.999789400686269	-4.54239501070597
BC064078	-0.17909855885829	1.25229221408425	-1.41135504760687	0.188143181447334	0.999789400686269	-4.54311498248295
Ppa1	-0.162588376183921	3.1661241809635	-1.41127241395333	0.188166870347561	0.999789400686269	-4.54318981586456
Kdsr	0.0728423298733258	5.43771111434342	1.41100527969437	0.188243468084893	0.999789400686269	-4.54343171661568
Gm49369	-0.871648281653095	3.19883119897602	-1.41086552325742	0.188283552231371	0.999789400686269	-4.54355826121744
Selenov	0.0626138286104664	0.0854932816321733	1.41080486796668	0.188300951295386	0.999789400686269	-4.54361318024547
Gm5597	-0.0603836210256457	0.0567874972370294	-1.41059892128149	0.188360037622781	0.999789400686269	-4.54379964015776
Bloc1s2-ps	0.121960858699594	0.635398430943226	1.41044885929085	0.188403100498404	0.999789400686269	-4.54393549339938
Gm9260	0.138965871604659	0.935349963689171	1.41014702240424	0.188489743149233	0.999789400686269	-4.54420872554056
Prdm10	0.0814511021144429	3.24537878311434	1.40998008566271	0.188537677094301	0.999789400686269	-4.5443598274923
Gpr18	0.0829047236620685	0.0880682588519399	1.40982721865407	0.188581580168611	0.999789400686269	-4.54449818530993
Gm14421	-0.0825090458949453	2.71105393982946	-1.40980237885257	0.188588714926685	0.999789400686269	-4.5445206666596
Txndc17	-0.134514920929757	3.87484962600597	-1.4097734767148	0.188597016802021	0.999789400686269	-4.54454682435541
Prkcq	0.12012782150569	5.45478821228116	1.40968793350416	0.188621590129254	0.999789400686269	-4.54462424289365
R3hcc1l	0.114664983912432	4.16252592736462	1.40966295335128	0.188628766495303	0.999789400686269	-4.5446468499887
Gm37985	-0.0488634576828668	0.0582892494474484	-1.40958363604003	0.18865155452606	0.999789400686269	-4.54471863081416
Met	0.124335698224866	7.78513233822595	1.4094145128562	0.188700151788237	0.999789400686269	-4.54487167670838
Ttll13	0.101156627059347	0.414669136881897	1.40939160607124	0.188706734832539	0.999789400686269	-4.54489240510573
Trmt44	-0.0844627901713729	2.86089524589201	-1.40938285661479	0.188709249338167	0.999789400686269	-4.54490032245613
Gm15725	0.305054822014076	2.81311233324035	1.4088359999398	0.188866466964201	0.999789400686269	-4.54539511511194
Fgf7	0.117582682869493	1.88602249145157	1.4087497420172	0.188891275700355	0.999789400686269	-4.5454731507151
Rsph4a	-0.046987289786367	0.0266828764138878	-1.40865333740466	0.188919006014587	0.999789400686269	-4.54556036255877
Gm13147	-0.0707249130365525	0.075130227219837	-1.40858514246683	0.188938624043434	0.999789400686269	-4.54562205262598
Snw1	0.100192980106667	5.44824833095308	1.4082486927035	0.189035437819794	0.999789400686269	-4.54592638458256
Vegfa	0.0986986697875365	6.39848160188901	1.40823048310986	0.189040678852043	0.999789400686269	-4.54594285468204
Gm10254	0.123204472888171	3.33702273157276	1.40816435017079	0.189059714080676	0.999789400686269	-4.54600266916204
Arpc1a	-0.0803828259417543	4.10810554623171	-1.4077793049071	0.189170575085735	0.999789400686269	-4.54635089450616
Mdm4	-0.0534148716494875	6.57656780004147	-1.4072914883501	0.189311104986249	0.999789400686269	-4.54679198516743
Atp6ap1l	-0.0728655325493802	0.0967242755531432	-1.40723254147376	0.189328092371891	0.999789400686269	-4.5468452798278
Kdm4b	0.0661000628116627	4.20127192091578	1.40705630941677	0.189378886873304	0.999789400686269	-4.54700460594658
Ankrd29	-0.144419275414491	2.16418120535275	-1.40621235556172	0.189622296047622	0.999789400686269	-4.54776744045485
Sgta	0.1061726340131	4.80433144558658	1.40602206871885	0.189677214375028	0.999789400686269	-4.54793940093278
Dok4	0.114989692872453	3.0470489786554	1.40601075424309	0.189680480250028	0.999789400686269	-4.54794962529968
Cd164	-0.130230522029047	7.04225579388144	-1.40582075897495	0.189735328705737	0.999789400686269	-4.54812130814516
Gm27186	0.0432146021038848	0.021751563343037	1.4056940270764	0.189771921573197	0.999789400686269	-4.54823581775527
Rpl31-ps9	0.0541555039910022	0.0792453837690452	1.40524602245929	0.189901327529102	0.999789400686269	-4.54864056829106
Calm1	0.103340814225431	7.48186717512163	1.4052141855609	0.189910526455599	0.999789400686269	-4.54866932856747
Capn5	-0.195212312881938	4.17787439898796	-1.40505611552039	0.189956204682663	0.999789400686269	-4.54881211764519
Shcbp1l	-0.0998466947055554	0.170819582728277	-1.40481490462538	0.190025926484439	0.999789400686269	-4.54902999236645
Gm16011	-0.0576655618418594	0.358066591794185	-1.40472477330582	0.19005198444067	0.999789400686269	-4.54911139832351
4933422A05Rik	-0.0587752658643623	0.0602722796966634	-1.4046535693253	0.190072572439973	0.999789400686269	-4.54917570711953
Gm45222	-0.0689970093101083	3.69883466930335	-1.40451060718799	0.190113914391296	0.999789400686269	-4.54930481955842
Hspb1	-0.213116920510102	3.2232119737614	-1.40450960533978	0.190114204133821	0.999789400686269	-4.54930572432421
Gm44899	0.0835698912043208	0.10168205147056	1.40446534334644	0.190127005430911	0.999789400686269	-4.54934569681249
Gm37226	-0.199413778613935	1.94428412640389	-1.40435560606584	0.190158746415194	0.999789400686269	-4.54944479613927
9630013D21Rik	0.062459430980449	0.125517351362341	1.40417266350368	0.190211671678722	0.999789400686269	-4.54960999430334
Gm12294	0.0863524101999151	0.179301574622751	1.40413718111332	0.1902219381782	0.999789400686269	-4.54964203366711
Hid1	0.1492273463484	4.15461567341444	1.40392448434806	0.190283489869906	0.999789400686269	-4.54983408167201
Mrps17	0.0911793979472816	4.09175531937458	1.40380174720915	0.190319016102142	0.999789400686269	-4.54994489577493
BC005624	0.0738444038395368	3.94279630296887	1.40354176548453	0.190394286337114	0.999789400686269	-4.55017960370479
Ammecr1l	-0.100959158140551	4.22382369990943	-1.40343974347838	0.190423830778864	0.999789400686269	-4.55027170092914
Exog	0.0999604496945488	1.84433505898511	1.40337139341294	0.19044362637661	0.999789400686269	-4.55033339968841
Vti1a	0.0677699303308728	4.33252075345822	1.40336657563618	0.19044502177066	0.999789400686269	-4.55033774857063
Best2	-0.461610722210327	2.93487800401175	-1.40333739272412	0.190453474332387	0.999789400686269	-4.55036409104516
Siah3	0.130688789370746	0.149432680517631	1.40323366304941	0.190483521254742	0.999789400686269	-4.55045772192584
Gm43437	0.122868998177104	1.15406321843085	1.40318897832828	0.190496466122799	0.999789400686269	-4.55049805505442
Gm7604	-0.0462155492721926	0.0338780051230554	-1.40298603934726	0.190555265598437	0.999789400686269	-4.55068122164055
Cacna2d1	-0.190891037382453	5.2371241180674	-1.40293593429332	0.190569785391493	0.999789400686269	-4.55072644259652
Gm42461	-0.0974760140617403	0.26103266414451	-1.40284243171956	0.190596883732417	0.999789400686269	-4.55081082831626
Ppm1d	0.10008190620143	3.0130923130337	1.40213871028331	0.190800936886768	0.999789400686269	-4.55144583021002
